"Mecca for moderns","Manhatten Transfer, The ","1981"
"Kelly Leslie & John Ford Coley","Leslie, Kelly & John Ford Coley ","1981"
"Greg Lake","Lake, Gregg","1981"
"Guitar technic of Steve Lukather","Kobayashi, Katsumi ","1981"
"Leave a little love","Jürgens, Udo ","1981"
"Pirates","Jones, Rickie Lee ","1981"
"The dude","Jones, Quincy ","1981"
"The fox","John, Elton","1981"
"Breakin' away","Jarreau, Al","1981"
"Love all the hurt away","Franklin, Aretha ","1981"
"Breaking all the rules","Frampton, Peter ","1981"
"Dynamite","Forsey, Keith ","1981"
"Be Bop the future","Essex, David","1981"
"Listen","Dore, Charlie ","1981"
"Close enough","Dash, Sarah ","1981"
"Sweet sweet","Cummings, Burton ","1981"
"Secret combination","Crawford, Randy ","1981"
"Claudia","Claudia","1981"
"USJ","Char","1981"
"Runaway","Champlin, Bill","1981"
"Peter Cetera","Cetera, Peter ","1981"
"An eye for an eye","Byrne & Barnes ","1981"
"Winners","Brothers Johnson, The ","1981"
"Ann Bertucci","Bertucci, Anne ","1981"
"Dreams in stone","Berger, Michael ","1981"
"The George Benson collection","Benson, George ","1981"
"Magic man","Alpert, Herb","1981"
"IV","Toto","1982"
"Envoy","Zevon, Warren ","1982"
"The perfect stranger","Young, Jesse Colin ","1982"
"PM 9","Yazawa, Eikichi ","1982"
"It's just rock and roll","Yazawa, Eikichi ","1982"
"Take me to your heaven","Woods, Stevie","1982"
"Joseph Williams","Williams, Joseph ","1982"
"Angel heart","Webb, Jimmy ","1982"
"Chariots of fire","Watts, Ernie ","1982"
"Friends in love","Warwick, Dionne ","1982"
"Leon Ware","Ware, Leon","1982"
"Completion backward principle","Tubes, The","1982"
"Donna Summer","Summer, Donna","1982"
"Jon Stevens","Stevens, Jon","1982"
"Zapped!","Soundtrack","1982"
"Reach","Simmons, Richard ","1982"
"I'm your girlfriend","Sedaka, Dara ","1982"
"World radio","Sayer, Leo","1982"
"All dressed up","Roberts, David ","1982"
"Night Plane","Night Plane ","1982"
"I'm fine","Mizukoshi, Keiko ","1982"
"Wild things run fast","Mitchell, Joni ","1982"
"If that's what it takes","McDonald, Michael ","1982"
"Baked Potato super live","Mathieson, Greg Project ","1982"
"Somebody somewhere","Mars, Steve","1982"
"Hey Ricky","Manchester, Melissa ","1982"
"High adventure","Loggins, Kenny ","1982"
"Bill LaBounty","LaBounty, Bill ","1982"
"No looking back","Kerr, Richard ","1982"
"L.A. spirits","Katsuragi, Yuki ","1982"
"Champion","Jans, Tom","1982"
"Thriller","Jackson, Michael","1982"
"Stand by the power","Imperials, The","1982"
"I can't stand still","Henley, Don ","1982"
"Lite me up","Hancock, Herbie ","1982"
"Needless freaking","Ford, Dwayne ","1982"
"Let me rock you","Criss, Pete ","1982"
"Windsong","Crawford, Randy ","1982"
"Chicago 16","Chicago","1982"
"I paralyze","Cher","1982"
"Carry on","Caldwell, Bobby ","1982"
"The dukes","Bugatti & Musker ","1982"
"Branigan","Branigan, Laura ","1982"
"Moonlight walking","Benson, Gary ","1982"
"Suspicion","Bade, Lisa ","1982"
"View from the ground","America","1982"
"Long time friends","Alessi Brothers ","1982"
"Bombom","Lee, Rita","1983"
"Dateline: Tokyo","Walsh, Brock ","1983"
"National emotion","Tutone, Tommy ","1983"
"Outside inside","Tubes, The","1983"
"Psycho II","Soundtrack (Jerry Goldsmith)","1983"
"Gorky Park","Soundtrack (James Horner)","1983"
"Two of a kind","Soundtrack","1983"
"Have you ever been in love","Sayer, Leo","1983"
"Ross","Ross, Diana","1983"
"We've got tonight","Rogers, Kenny ","1983"
"Can't slow down","Richie, Lionel ","1983"
"Blind luck","Nielsen-Pearson ","1983"
"The wild heart","Nicks, Stevie ","1983"
"Trouble in paradise","Newman, Randy","1983"
